Wind On,Solar
47.0,210.0
53.5,198.5
60.0,187.0
68.75,155.5
77.5,124.0
86.25,92.5
95.0,61.0
119.0,46.25
143.0,31.5
167.0,16.75
191.0,2.0
220.75,1.5
250.5,1.0
280.25,0.5
310.0,0.0
342.5,0.0
375.0,0.0
407.5,0.0
440.0,0.0
463.0,0.0
486.0,0.0
509.0,0.0
532.0,0.0
563.5,0.0
595.0,0.0
626.5,0.0
658.0,0.0
653.25,0.0
648.5,0.0
643.75,0.0
639.0,0.0
641.25,0.0
643.5,0.0
645.75,0.0
648.0,0.0
632.5,0.0
617.0,0.0
601.5,0.0
586.0,0.0
550.5,0.0
515.0,0.0
479.5,0.0
444.0,0.0
415.75,0.0
387.5,0.0
359.25,0.0
331.0,0.0
306.0,0.0
281.0,0.0
256.0,0.0
231.0,0.0
222.75,0.0
214.5,0.0
206.25,0.0
198.0,0.0
228.75,0.0
259.5,0.0
290.25,0.0
321.0,0.0
321.75,0.0
322.5,0.0
323.25,0.0
324.0,0.0
328.75,0.0
333.5,0.0
338.25,0.0
343.0,0.0
358.0,4.5
373.0,9.0
388.0,13.5
403.0,18.0
386.0,30.0
369.0,42.0
352.0,54.0
335.0,66.0
311.75,75.75
288.5,85.5
265.25,95.25
242.0,105.0
226.25,110.75
210.5,116.5
194.75,122.25
179.0,128.0
162.0,129.75
145.0,131.5
128.0,133.25
111.0,135.0
100.25,136.75
89.5,138.5
78.75,140.25
68.0,142.0
63.25,142.75
58.5,143.5
53.75,144.25
49.0,145.0
52.25,141.0
55.5,137.0
58.75,133.0
62.0,129.0
66.25,110.75
70.5,92.5
74.75,74.25
79.0,56.0
81.5,42.5
84.0,29.0
86.5,15.5
89.0,2.0
90.75,1.5
92.5,1.0
94.25,0.5
96.0,0.0
100.25,0.0
104.5,0.0
108.75,0.0
113.0,0.0
109.75,0.0
106.5,0.0
103.25,0.0
100.0,0.0
94.0,0.0
88.0,0.0
82.0,0.0
76.0,0.0
70.5,0.0
65.0,0.0
59.5,0.0
54.0,0.0
56.5,0.0
59.0,0.0
61.5,0.0
64.0,0.0
64.75,0.0
65.5,0.0
66.25,0.0
67.0,0.0
71.25,0.0
75.5,0.0
79.75,0.0
84.0,0.0
83.75,0.0
83.5,0.0
83.25,0.0
83.0,0.0
83.25,0.0
83.5,0.0
83.75,0.0
84.0,0.0
89.5,0.0
95.0,0.0
100.5,0.0
106.0,0.0
110.5,0.0
115.0,0.0
119.5,0.0
124.0,0.0
120.25,0.0
116.5,0.0
112.75,0.0
109.0,0.0
116.25,0.0
123.5,0.0
130.75,0.0
138.0,0.0
146.25,7.25
154.5,14.5
162.75,21.75
171.0,29.0
182.5,46.75
194.0,64.5
205.5,82.25
217.0,100.0
222.5,121.25
228.0,142.5
233.5,163.75
239.0,185.0
232.0,200.0
225.0,215.0
218.0,230.0
211.0,245.0
195.0,254.5
179.0,264.0
163.0,273.5
147.0,283.0
134.25,283.25
121.5,283.5
108.75,283.75
96.0,284.0
89.25,277.25
82.5,270.5
75.75,263.75
69.0,257.0
68.25,243.25
67.5,229.5
66.75,215.75
66.0,202.0
69.25,173.0
72.5,144.0
75.75,115.0
79.0,86.0
102.25,65.25
125.5,44.5
148.75,23.75
172.0,3.0
212.0,2.25
252.0,1.5
292.0,0.75
332.0,0.0
389.0,0.0
446.0,0.0
503.0,0.0
560.0,0.0
608.75,0.0
657.5,0.0
706.25,0.0
755.0,0.0
818.75,0.0
882.5,0.0
946.25,0.0
1010.0,0.0
1079.25,0.0
1148.5,0.0
1217.75,0.0
1287.0,0.0
1351.75,0.0
1416.5,0.0
1481.25,0.0
1546.0,0.0
1647.0,0.0
1748.0,0.0
1849.0,0.0
1950.0,0.0
2026.25,0.0
2102.5,0.0
2178.75,0.0
2255.0,0.0
2286.75,0.0
2318.5,0.0
2350.25,0.0
2382.0,0.0
2376.0,0.0
2370.0,0.0
2364.0,0.0
2358.0,0.0
2274.0,0.0
2190.0,0.0
2106.0,0.0
2022.0,0.0
1938.25,0.0
1854.5,0.0
1770.75,0.0
1687.0,0.0
1625.5,0.0
1564.0,0.0
1502.5,0.0
1441.0,0.0
1389.25,0.0
1337.5,0.0
1285.75,0.0
1234.0,0.0
1175.5,11.75
1117.0,23.5
1058.5,35.25
1000.0,47.0
948.75,78.75
897.5,110.5
846.25,142.25
795.0,174.0
722.5,193.75
650.0,213.5
577.5,233.25
505.0,253.0
459.0,261.5
413.0,270.0
367.0,278.5
321.0,287.0
297.75,289.5
274.5,292.0
251.25,294.5
228.0,297.0
203.25,295.5
178.5,294.0
153.75,292.5
129.0,291.0
125.75,285.0
122.5,279.0
119.25,273.0
116.0,267.0
119.75,252.75
123.5,238.5
127.25,224.25
131.0,210.0
143.0,180.5
155.0,151.0
167.0,121.5
179.0,92.0
221.25,70.0
263.5,48.0
305.75,26.0
348.0,4.0
380.0,3.0
412.0,2.0
444.0,1.0
476.0,0.0
500.0,0.0
524.0,0.0
548.0,0.0
572.0,0.0
636.75,0.0
701.5,0.0
766.25,0.0
831.0,0.0
880.5,0.0
930.0,0.0
979.5,0.0
1029.0,0.0
1080.25,0.0
1131.5,0.0
1182.75,0.0
1234.0,0.0
1246.5,0.0
1259.0,0.0
1271.5,0.0
1284.0,0.0
1229.0,0.0
1174.0,0.0
1119.0,0.0
1064.0,0.0
1018.0,0.0
972.0,0.0
926.0,0.0
880.0,0.0
844.75,0.0
809.5,0.0
774.25,0.0
739.0,0.0
706.75,0.0
674.5,0.0
642.25,0.0
610.0,0.0
579.0,0.0
548.0,0.0
517.0,0.0
486.0,0.0
472.0,0.0
458.0,0.0
444.0,0.0
430.0,0.0
430.5,0.0
431.0,0.0
431.5,0.0
432.0,0.0
415.75,0.0
399.5,0.0
383.25,0.0
367.0,0.0
351.25,12.25
335.5,24.5
319.75,36.75
304.0,49.0
287.25,79.5
270.5,110.0
253.75,140.5
237.0,171.0
219.25,189.25
201.5,207.5
183.75,225.75
166.0,244.0
151.25,247.75
136.5,251.5
121.75,255.25
107.0,259.0
103.75,260.75
100.5,262.5
97.25,264.25
94.0,266.0
96.0,262.0
98.0,258.0
100.0,254.0
102.0,250.0
109.25,242.0
116.5,234.0
123.75,226.0
131.0,218.0
132.75,203.5
134.5,189.0
136.25,174.5
138.0,160.0
154.75,136.75
171.5,113.5
188.25,90.25
205.0,67.0
233.0,51.0
261.0,35.0
289.0,19.0
317.0,3.0
359.0,2.25
401.0,1.5
443.0,0.75
485.0,0.0
505.25,0.0
525.5,0.0
545.75,0.0
566.0,0.0
582.5,0.0
599.0,0.0
615.5,0.0
632.0,0.0
641.75,0.0
651.5,0.0
661.25,0.0
671.0,0.0
638.25,0.0
605.5,0.0
572.75,0.0
540.0,0.0
518.0,0.0
496.0,0.0
474.0,0.0
452.0,0.0
447.25,0.0
442.5,0.0
437.75,0.0
433.0,0.0
471.25,0.0
509.5,0.0
547.75,0.0
586.0,0.0
700.0,0.0
814.0,0.0
928.0,0.0
1042.0,0.0
1111.25,0.0
1180.5,0.0
1249.75,0.0
1319.0,0.0
1344.0,0.0
1369.0,0.0
1394.0,0.0
1419.0,0.0
1390.5,0.0
1362.0,0.0
1333.5,0.0
1305.0,0.0
1281.5,0.0
1258.0,0.0
1234.5,0.0
1211.0,0.0
1219.5,0.0
1228.0,0.0
1236.5,0.0
1245.0,0.0
1234.75,11.75
1224.5,23.5
1214.25,35.25
1204.0,47.0
1186.5,77.0
1169.0,107.0
1151.5,137.0
1134.0,167.0
1121.25,185.75
1108.5,204.5
1095.75,223.25
1083.0,242.0
1088.25,249.25
1093.5,256.5
1098.75,263.75
1104.0,271.0
1067.25,274.25
1030.5,277.5
993.75,280.75
957.0,284.0
906.0,283.0
855.0,282.0
804.0,281.0
753.0,280.0
708.5,274.0
664.0,268.0
619.5,262.0
575.0,256.0
594.25,241.75
613.5,227.5
632.75,213.25
652.0,199.0
687.0,171.5
722.0,144.0
757.0,116.5
792.0,89.0
