"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","02.10.2020 17:00 - 02.10.2020 18:00 (CET/CEST)","399","n/e","n/e","n/e","910","0","n/e","n/e","n/e","n/e","0","830","186","7","n/e","n/e","33","n/e","285","n/e","20","4440"
"Portugal (PT)","02.10.2020 18:00 - 02.10.2020 19:00 (CET/CEST)","406","n/e","n/e","n/e","909","0","n/e","n/e","n/e","n/e","9","93","238","8","n/e","n/e","32","n/e","185","n/e","10","4344"
"Portugal (PT)","02.10.2020 19:00 - 02.10.2020 20:00 (CET/CEST)","405","n/e","n/e","n/e","969","0","n/e","n/e","n/e","n/e","465","4","576","35","n/e","n/e","33","n/e","48","n/e","17","4122"
"Portugal (PT)","02.10.2020 20:00 - 02.10.2020 21:00 (CET/CEST)","399","n/e","n/e","n/e","1026","0","n/e","n/e","n/e","n/e","1477","1","1372","207","n/e","n/e","33","n/e","0","n/e","18","3775"
"Portugal (PT)","02.10.2020 21:00 - 02.10.2020 22:00 (CET/CEST)","405","n/e","n/e","n/e","946","0","n/e","n/e","n/e","n/e","1715","0","1361","219","n/e","n/e","32","n/e","0","n/e","25","3571"
"Portugal (PT)","02.10.2020 22:00 - 02.10.2020 23:00 (CET/CEST)","405","n/e","n/e","n/e","967","0","n/e","n/e","n/e","n/e","339","3","793","76","n/e","n/e","33","n/e","0","n/e","13","3531"
"Portugal (PT)","02.10.2020 23:00 - 03.10.2020 00:00 (CET/CEST)","400","n/e","n/e","n/e","889","0","n/e","n/e","n/e","n/e","4","6","290","5","n/e","n/e","33","n/e","0","n/e","18","3359"
"Portugal (PT)","03.10.2020 00:00 - 03.10.2020 01:00 (CET/CEST)","398","n/e","n/e","n/e","852","0","n/e","n/e","n/e","n/e","145","349","234","0","n/e","n/e","32","n/e","0","n/e","16","3072"
"Portugal (PT)","03.10.2020 01:00 - 03.10.2020 02:00 (CET/CEST)","403","n/e","n/e","n/e","712","0","n/e","n/e","n/e","n/e","0","866","27","0","n/e","n/e","33","n/e","0","n/e","22","2886"
"Portugal (PT)","03.10.2020 02:00 - 03.10.2020 03:00 (CET/CEST)","406","n/e","n/e","n/e","670","0","n/e","n/e","n/e","n/e","0","1208","21","0","n/e","n/e","33","n/e","0","n/e","10","2792"
"Portugal (PT)","03.10.2020 03:00 - 03.10.2020 04:00 (CET/CEST)","411","n/e","n/e","n/e","711","0","n/e","n/e","n/e","n/e","0","1248","17","0","n/e","n/e","33","n/e","0","n/e","9","2805"
"Portugal (PT)","03.10.2020 04:00 - 03.10.2020 05:00 (CET/CEST)","411","n/e","n/e","n/e","697","0","n/e","n/e","n/e","n/e","0","1349","24","0","n/e","n/e","33","n/e","0","n/e","4","2719"
"Portugal (PT)","03.10.2020 05:00 - 03.10.2020 06:00 (CET/CEST)","410","n/e","n/e","n/e","708","0","n/e","n/e","n/e","n/e","0","1200","29","0","n/e","n/e","32","n/e","0","n/e","12","2684"
"Portugal (PT)","03.10.2020 06:00 - 03.10.2020 07:00 (CET/CEST)","406","n/e","n/e","n/e","722","0","n/e","n/e","n/e","n/e","0","908","18","0","n/e","n/e","32","n/e","0","n/e","14","2567"
"Portugal (PT)","03.10.2020 07:00 - 03.10.2020 08:00 (CET/CEST)","401","n/e","n/e","n/e","743","0","n/e","n/e","n/e","n/e","11","329","361","0","n/e","n/e","32","n/e","0","n/e","4","2396"
"Portugal (PT)","03.10.2020 08:00 - 03.10.2020 09:00 (CET/CEST)","403","n/e","n/e","n/e","668","0","n/e","n/e","n/e","n/e","96","8","382","0","n/e","n/e","32","n/e","5","n/e","2","2263"
"Portugal (PT)","03.10.2020 09:00 - 03.10.2020 10:00 (CET/CEST)","403","n/e","n/e","n/e","725","0","n/e","n/e","n/e","n/e","78","7","413","39","n/e","n/e","33","n/e","130","n/e","0","2089"
"Portugal (PT)","03.10.2020 10:00 - 03.10.2020 11:00 (CET/CEST)","403","n/e","n/e","n/e","814","0","n/e","n/e","n/e","n/e","96","18","281","70","n/e","n/e","32","n/e","320","n/e","1","1815"
"Portugal (PT)","03.10.2020 11:00 - 03.10.2020 12:00 (CET/CEST)","409","n/e","n/e","n/e","846","0","n/e","n/e","n/e","n/e","91","644","204","19","n/e","n/e","33","n/e","450","n/e","0","1682"
"Portugal (PT)","03.10.2020 12:00 - 03.10.2020 13:00 (CET/CEST)","411","n/e","n/e","n/e","867","0","n/e","n/e","n/e","n/e","0","764","23","14","n/e","n/e","33","n/e","502","n/e","0","1570"
"Portugal (PT)","03.10.2020 13:00 - 03.10.2020 14:00 (CET/CEST)","410","n/e","n/e","n/e","879","0","n/e","n/e","n/e","n/e","351","628","17","1","n/e","n/e","34","n/e","481","n/e","0","1474"
"Portugal (PT)","03.10.2020 14:00 - 03.10.2020 15:00 (CET/CEST)","407","n/e","n/e","n/e","764","0","n/e","n/e","n/e","n/e","26","724","23","0","n/e","n/e","34","n/e","404","n/e","1","1626"
"Portugal (PT)","03.10.2020 15:00 - 03.10.2020 16:00 (CET/CEST)","406","n/e","n/e","n/e","743","0","n/e","n/e","n/e","n/e","0","958","27","8","n/e","n/e","33","n/e","382","n/e","0","1573"
"Portugal (PT)","03.10.2020 16:00 - 03.10.2020 17:00 (CET/CEST)","411","n/e","n/e","n/e","637","0","n/e","n/e","n/e","n/e","0","1141","31","8","n/e","n/e","35","n/e","389","n/e","0","1833"
"Portugal (PT)","03.10.2020 17:00 - 03.10.2020 18:00 (CET/CEST)","413","n/e","n/e","n/e","742","0","n/e","n/e","n/e","n/e","5","1043","18","0","n/e","n/e","35","n/e","325","n/e","1","1942"
"Portugal (PT)","03.10.2020 18:00 - 03.10.2020 19:00 (CET/CEST)","414","n/e","n/e","n/e","748","0","n/e","n/e","n/e","n/e","281","31","302","42","n/e","n/e","34","n/e","212","n/e","0","1855"
"Portugal (PT)","03.10.2020 19:00 - 03.10.2020 20:00 (CET/CEST)","414","n/e","n/e","n/e","807","0","n/e","n/e","n/e","n/e","1106","1","864","265","n/e","n/e","34","n/e","60","n/e","1","1758"
