"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","16.02.2016 10:00 - 16.02.2016 11:00 (CET/CEST)","267","n/e","n/e","n/e","1023","984","n/e","n/e","n/e","n/e","982","1","2470","1476","n/e","n/e","32","n/e","260","n/e","n/e","1367"
"Portugal (PT)","16.02.2016 11:00 - 16.02.2016 12:00 (CET/CEST)","271","n/e","n/e","n/e","1020","984","n/e","n/e","n/e","n/e","923","112","2471","1474","n/e","n/e","34","n/e","323","n/e","n/e","1190"
"Portugal (PT)","16.02.2016 12:00 - 16.02.2016 13:00 (CET/CEST)","269","n/e","n/e","n/e","1012","986","n/e","n/e","n/e","n/e","901","203","2392","1465","n/e","n/e","34","n/e","347","n/e","n/e","1129"
"Portugal (PT)","16.02.2016 13:00 - 16.02.2016 14:00 (CET/CEST)","268","n/e","n/e","n/e","1015","986","n/e","n/e","n/e","n/e","879","286","2410","1482","n/e","n/e","37","n/e","358","n/e","n/e","943"
"Portugal (PT)","16.02.2016 14:00 - 16.02.2016 15:00 (CET/CEST)","270","n/e","n/e","n/e","1017","986","n/e","n/e","n/e","n/e","894","219","2414","1476","n/e","n/e","37","n/e","361","n/e","n/e","702"
"Portugal (PT)","16.02.2016 15:00 - 16.02.2016 16:00 (CET/CEST)","269","n/e","n/e","n/e","1015","985","n/e","n/e","n/e","n/e","773","124","2342","1438","n/e","n/e","36","n/e","342","n/e","n/e","619"
"Portugal (PT)","16.02.2016 16:00 - 16.02.2016 17:00 (CET/CEST)","273","n/e","n/e","n/e","1036","985","n/e","n/e","n/e","n/e","995","124","2357","1443","n/e","n/e","37","n/e","298","n/e","n/e","622"
"Portugal (PT)","16.02.2016 17:00 - 16.02.2016 18:00 (CET/CEST)","274","n/e","n/e","n/e","1089","985","n/e","n/e","n/e","n/e","1029","32","2420","1377","n/e","n/e","36","n/e","207","n/e","n/e","606"
"Portugal (PT)","16.02.2016 18:00 - 16.02.2016 19:00 (CET/CEST)","277","n/e","n/e","n/e","1199","985","n/e","n/e","n/e","n/e","1152","0","2346","1349","n/e","n/e","40","n/e","64","n/e","n/e","675"
"Portugal (PT)","16.02.2016 19:00 - 16.02.2016 20:00 (CET/CEST)","266","n/e","n/e","n/e","1449","1098","n/e","n/e","n/e","n/e","1439","0","2436","1408","n/e","n/e","41","n/e","0","n/e","n/e","655"
"Portugal (PT)","16.02.2016 20:00 - 16.02.2016 21:00 (CET/CEST)","255","n/e","n/e","n/e","1938","1175","n/e","n/e","n/e","n/e","1436","0","2458","1369","n/e","n/e","41","n/e","0","n/e","n/e","601"
"Portugal (PT)","16.02.2016 21:00 - 16.02.2016 22:00 (CET/CEST)","261","n/e","n/e","n/e","1990","1176","n/e","n/e","n/e","n/e","1334","0","2421","1325","n/e","n/e","42","n/e","0","n/e","n/e","601"
"Portugal (PT)","16.02.2016 22:00 - 16.02.2016 23:00 (CET/CEST)","268","n/e","n/e","n/e","1885","1176","n/e","n/e","n/e","n/e","1424","0","2393","1384","n/e","n/e","43","n/e","0","n/e","n/e","570"
"Portugal (PT)","16.02.2016 23:00 - 17.02.2016 00:00 (CET/CEST)","263","n/e","n/e","n/e","1530","1176","n/e","n/e","n/e","n/e","1509","0","2403","1388","n/e","n/e","43","n/e","0","n/e","n/e","459"
"Portugal (PT)","17.02.2016 00:00 - 17.02.2016 01:00 (CET/CEST)","261","n/e","n/e","n/e","1133","1175","n/e","n/e","n/e","n/e","804","2","2282","1180","n/e","n/e","44","n/e","0","n/e","n/e","386"
"Portugal (PT)","17.02.2016 01:00 - 17.02.2016 02:00 (CET/CEST)","262","n/e","n/e","n/e","595","1175","n/e","n/e","n/e","n/e","763","3","2229","1279","n/e","n/e","45","n/e","0","n/e","n/e","269"
"Portugal (PT)","17.02.2016 02:00 - 17.02.2016 03:00 (CET/CEST)","266","n/e","n/e","n/e","582","1174","n/e","n/e","n/e","n/e","688","5","2032","1295","n/e","n/e","45","n/e","0","n/e","n/e","179"
"Portugal (PT)","17.02.2016 03:00 - 17.02.2016 04:00 (CET/CEST)","262","n/e","n/e","n/e","582","1174","n/e","n/e","n/e","n/e","645","8","1963","1263","n/e","n/e","44","n/e","0","n/e","n/e","176"
"Portugal (PT)","17.02.2016 04:00 - 17.02.2016 05:00 (CET/CEST)","263","n/e","n/e","n/e","581","1172","n/e","n/e","n/e","n/e","648","8","2020","1268","n/e","n/e","42","n/e","0","n/e","n/e","186"
"Portugal (PT)","17.02.2016 05:00 - 17.02.2016 06:00 (CET/CEST)","259","n/e","n/e","n/e","579","1172","n/e","n/e","n/e","n/e","634","8","2145","1253","n/e","n/e","41","n/e","0","n/e","n/e","277"
"Portugal (PT)","17.02.2016 06:00 - 17.02.2016 07:00 (CET/CEST)","263","n/e","n/e","n/e","579","1172","n/e","n/e","n/e","n/e","651","8","2228","1289","n/e","n/e","44","n/e","0","n/e","n/e","398"
"Portugal (PT)","17.02.2016 07:00 - 17.02.2016 08:00 (CET/CEST)","264","n/e","n/e","n/e","557","1172","n/e","n/e","n/e","n/e","1316","0","2249","1420","n/e","n/e","42","n/e","0","n/e","n/e","689"
"Portugal (PT)","17.02.2016 08:00 - 17.02.2016 09:00 (CET/CEST)","260","n/e","n/e","n/e","887","1172","n/e","n/e","n/e","n/e","1301","0","2186","1370","n/e","n/e","43","n/e","13","n/e","n/e","1040"
"Portugal (PT)","17.02.2016 09:00 - 17.02.2016 10:00 (CET/CEST)","263","n/e","n/e","n/e","976","1173","n/e","n/e","n/e","n/e","1226","0","2354","1433","n/e","n/e","42","n/e","118","n/e","n/e","1110"
"Portugal (PT)","17.02.2016 10:00 - 17.02.2016 11:00 (CET/CEST)","260","n/e","n/e","n/e","998","1174","n/e","n/e","n/e","n/e","1362","0","2393","1473","n/e","n/e","44","n/e","207","n/e","n/e","885"
"Portugal (PT)","17.02.2016 11:00 - 17.02.2016 12:00 (CET/CEST)","269","n/e","n/e","n/e","1007","1173","n/e","n/e","n/e","n/e","1105","0","2312","1436","n/e","n/e","43","n/e","263","n/e","n/e","1006"
"Portugal (PT)","17.02.2016 12:00 - 17.02.2016 13:00 (CET/CEST)","273","n/e","n/e","n/e","1067","1173","n/e","n/e","n/e","n/e","1115","1","2420","1448","n/e","n/e","44","n/e","267","n/e","n/e","1000"
"Portugal (PT)","17.02.2016 13:00 - 17.02.2016 14:00 (CET/CEST)","270","n/e","n/e","n/e","1258","1173","n/e","n/e","n/e","n/e","1257","1","2407","1447","n/e","n/e","41","n/e","237","n/e","n/e","1160"
"Portugal (PT)","17.02.2016 14:00 - 17.02.2016 15:00 (CET/CEST)","278","n/e","n/e","n/e","1400","1187","n/e","n/e","n/e","n/e","967","1","2276","1304","n/e","n/e","44","n/e","187","n/e","n/e","1300"
"Portugal (PT)","17.02.2016 15:00 - 17.02.2016 16:00 (CET/CEST)","274","n/e","n/e","n/e","1492","1246","n/e","n/e","n/e","n/e","1043","5","2276","1318","n/e","n/e","44","n/e","138","n/e","n/e","1428"
"Portugal (PT)","17.02.2016 16:00 - 17.02.2016 17:00 (CET/CEST)","278","n/e","n/e","n/e","1449","1304","n/e","n/e","n/e","n/e","982","2","2324","1321","n/e","n/e","44","n/e","73","n/e","n/e","1674"
"Portugal (PT)","17.02.2016 17:00 - 17.02.2016 18:00 (CET/CEST)","272","n/e","n/e","n/e","1661","1369","n/e","n/e","n/e","n/e","1009","1","2322","1318","n/e","n/e","45","n/e","29","n/e","n/e","1746"
"Portugal (PT)","17.02.2016 18:00 - 17.02.2016 19:00 (CET/CEST)","269","n/e","n/e","n/e","1897","1398","n/e","n/e","n/e","n/e","1243","0","2429","1313","n/e","n/e","45","n/e","5","n/e","n/e","1777"
